league,team_0,team_1,kick_off_epoch,kick_off_timestamp,home_team,bookmaker,odds_0,odds_1,odds_2,odds_0_or,odds_1_or,odds_2_or,bookmaker_margin,stripped_0,stripped_1,stripped_2,target_0,target_1,target_2
Belgium First Div,Eupen,Waasland-Beveren,1613577600,2021-02-17 16:00:00,Waasland-Beveren,888sport,1.77,3.9,3.7,0.5649717514124294,0.25641025641025644,0.27027027027027023,1.091652278092956,0.517538196686034,0.23488272003443084,0.24757908327953515,1.9322245322245324,4.257443884562528,4.039113428943938
Belgium First Div,Eupen,Waasland-Beveren,1613577600,2021-02-17 16:00:00,Waasland-Beveren,Betclic,1.83,3.98,3.83,0.5464480874316939,0.25125628140703515,0.2610966057441253,1.0588009745828544,0.5161008542204857,0.23730265407625348,0.2465964917032608,1.9376057834866238,4.214027878839761,4.055207732652333
Belgium First Div,Eupen,Waasland-Beveren,1613577600,2021-02-17 16:00:00,Waasland-Beveren,Paddy Power,1.75,4.0,3.7,0.5714285714285714,0.25,0.27027027027027023,1.0916988416988416,0.5234305923961097,0.229000884173298,0.24756852343059238,1.9104729729729728,4.366795366795366,4.039285714285715
Belgium First Div,Eupen,Waasland-Beveren,1613577600,2021-02-17 16:00:00,Waasland-Beveren,Betfair,1.02,1.01,1.01,0.9803921568627451,0.9900990099009901,0.9900990099009901,2.9605901766647253,0.33114754098360655,0.3344262295081967,0.3344262295081967,3.01980198019802,2.9901960784313726,2.9901960784313726
Belgium First Div,Genk,Oostende,1613584800,2021-02-17 18:00:00,Oostende,Betclic,2.6,2.46,3.7,0.3846153846153846,0.4065040650406504,0.27027027027027023,1.0613897199263052,0.3623696154152401,0.38299227645513184,0.25463810812962817,2.7596132718083934,2.6110187110187106,3.9271419637273293
Belgium First Div,Genk,Oostende,1613584800,2021-02-17 18:00:00,Oostende,Paddy Power,2.5,2.4,3.6,0.4,0.4166666666666667,0.2777777777777778,1.0944444444444446,0.36548223350253806,0.38071065989847713,0.25380710659898476,2.736111111111111,2.626666666666667,3.9400000000000004
Belgium First Div,Genk,Oostende,1613584800,2021-02-17 18:00:00,Oostende,Unibet,2.5,2.5,3.55,0.4,0.4,0.28169014084507044,1.0816901408450705,0.36979166666666663,0.36979166666666663,0.26041666666666663,2.7042253521126765,2.7042253521126765,3.8400000000000007
Belgium First Div,Genk,Oostende,1613584800,2021-02-17 18:00:00,Oostende,888sport,2.48,2.48,3.5,0.40322580645161293,0.40322580645161293,0.2857142857142857,1.0921658986175116,0.3691983122362869,0.3691983122362869,0.26160337552742613,2.7085714285714286,2.7085714285714286,3.822580645161291
Belgium First Div,Genk,Oostende,1613584800,2021-02-17 18:00:00,Oostende,Betfair,1.01,1.01,1.01,0.9900990099009901,0.9900990099009901,0.9900990099009901,2.9702970297029703,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0
Belgium First Div,Gent,KV Mechelen,1613763900,2021-02-19 19:45:00,KV Mechelen,Unibet,2.95,2.18,3.55,0.3389830508474576,0.4587155963302752,0.28169014084507044,1.0793887880228032,0.3140509282743228,0.4249771735822258,0.2609718981434514,3.18419692466727,2.353067557889711,3.831830197480951
